Hash,Message,Hashes of Parents,Is a merge commit?,List of modified files
337991e8d1578d2f18c90ef40d9b367f116e664d,Bug fixes after last scene update + some renaming,['75aa246570b3fd668d104cc16e25e115ed2c99c1'],False,"['transform.py', 'chapter7.py', 'chapter8.py', 'chapter8p2.py', 'chapter9.py', 'two_d_space.py', 'mobject.py', 'vectorized_mobject.py', 'scene.py']"
44216ffe0d5c70bc3c4f8a2788dba2bcf907b654,Fixed interpolation problem in ExplainTrigFunctionDistances,['b1eb9a135b410ed2a7e89bd1881c8793fab31b9f'],False,['tattoo.py']
ac137eb68393752637f63019c43976c3a5312a00,A few bug fixes to the very buggy SVGMobject,['fd5dc238394a658bb001759991ce677efcdc81b6'],False,"['borsuk.py', 'chapter1.py', 'mobject.py', 'svg_mobject.py', 'objects.py']"
107c24cd4712b2545f19e895170d387e6d6735bb,Fixing some animations as I put together video,['865f5c33bf59296d5051468bd2f0cfca66018916'],False,['borsuk.py']
ab2b6c2ba4927a0478a216f76f0f7789cb39e29e,"3d stuff is still rudimentary, but slightly less buggy now",['c2eb3606844136a9f73dfe0bf98f84dd6ae02605'],False,['three_dimensions.py']
6dab7c958fb92a4bcbbbdc9af3e90af99c04f470,Fix to how brace tip is found,['311a22048bff3f7021e2b5a0f61e36f600b90003'],False,['tex_mobject.py']
22528568079091141f880e254f22c612ef78530b,Bug fix to finding submoject critical point,['c239f1af98d336d074568e3b04dcf8154760309b'],False,['mobject.py']
0f458594c6f7f3c25cf8d3338efd6b4c3cc7c3e5,fix get_subpath_mobjects() when a submobject has no attribute 'is_subpath',['dc24f0eaf4e664356a72e65407fd6ceec5a302c7'],False,['vectorized_mobject.py']
109d2efb477fb5c1412fa6e707110cdf595e1fd0,fix problem with integer data type of start_to_end,['0f458594c6f7f3c25cf8d3338efd6b4c3cc7c3e5'],False,['geometry.py']
8f4b1de8f119825a1b48f8aab6774fe2ad1d5eee,"add support of transform=""matrix(...)"" and fix bugs win lowercase commands",['109d2efb477fb5c1412fa6e707110cdf595e1fd0'],False,['svg_mobject.py']
0b7e4caf17c085084b6679a10e12140f05b8b24b,Bug fix to AnimationGroup,['e5411ea1f6b6af18e455133f1132bd654f3806e3'],False,['simple_animations.py']
6ab2d5f3b26e077764f77f860c80dad3530f52d6,Some bug fixes associated with new copy method,['ff0c122d4d0aba1e4acaa81bffdc8ebe37a851dc'],False,"['tex_mobject.py', 'vectorized_mobject.py']"
f47d7a03f391eb3bad4deb3a81dd105c4edff08f,Debugged problem with Scene.remove,['dc435e5aa3bc1270f9152c54b8034a054c26a7e0'],False,['scene.py']
e27e7f539fc3a1c1f249e17831300ea1abe4dc14,"Merge pull request #20 from mirefek/master

3 little fixes + SVG matrix transform support","['c3b8b36e4e105d91ab1b2b57e4a90d254d6ea933', '8f4b1de8f119825a1b48f8aab6774fe2ad1d5eee']",True,[]
cce24ce93a545ccd90919a956f695d111460ba0d,Fixed Riemann rectangle gap bug,['e27e7f539fc3a1c1f249e17831300ea1abe4dc14'],False,"['chapter8.py', 'graph_scene.py']"
4a9c6a8012a4461dafa5cd51b21fd76ca9d063b4,"Merge pull request #22 from styxtwo/upstream

Fixed ApplyMethod animation going in reverse for nested objects","['14d2d8fecb97db54601cd5fe61ab2e8bed1fb9d1', '21345a62591a51035345871db1741f15ee05f401']",True,[]
62c43cd306a30c6657be3d5da1db3d60757ab8d8,Fixed issue of buff with curved lines/arrows,['fd20472973415e4ebb0297931859cbe81c4a3b0f'],False,['geometry.py']
0ec5538ef0f0cb35a1a2a4e720d4d473901e6950,"Handle latex errors when converting to dvi

Whenever latex fails (for example due to a missing package) the code
continue and ends up failing due to a missing svg file.

Handle latex non 0 exit code.
Pass to latex -halt-on-error so it does not attempt to ask user for a
file, that is ignored in batch mode anyway.

Write the latex output to stderr and raise an exception to abort early.

Signed-off-by: Antoine Musso <hashar@free.fr>",['2ea2109694b790a3f6ee0f80d368fb238dc3d2f4'],False,['tex_mobject.py']
996cb5f36cb2558801b098c99d2b221378a13f1d,Modified sound when done if runtime error (in case of quitting if -p is present),['6bca9952aeb72e03ec91959a93958351cd1d93a4'],False,['extract_scene.py']
b6a1a6878b4852a4d20ef1b33e81f176e7a96abf,"Merge pull request #26 from hashar/handle-latex-error

Handle latex errors when converting to dvi","['6bb8f1d94af2a4322b913e9baff3a64e90ddcf06', '0ec5538ef0f0cb35a1a2a4e720d4d473901e6950']",True,[]
f3eb43f96f286a76aef7d9b0b0cbd17b3ea1db69,Fixed -o flag functionality for extract_scene.py,['b1e6c9c916074fcfc6479c92d450d9a1867c6891'],False,"['extract_scene.py', 'scene.py']"
ea0f2c97f41e7d8bf05eb36e576f1335d22512e5,Deleted the cast error in class TOP,['0092ac9a2a20873c7c077cefc4d68397a6df2ada'],False,['mobject.py']
d2925adebb19d3b6560138f92ff250b3255feba4,"Merge pull request #31 from rajdakin/master

Deleted the cast error in class TOP","['c214956992b825f6ae3196b8dd636d103ecd1c35', 'ea0f2c97f41e7d8bf05eb36e576f1335d22512e5']",True,[]
37a47b5d3dd628e1b8781dd3d37189ceabd0e8a3,Some simple typo fixes,['2417c063987aacedbbbaa4f654947987754cb558'],False,"['transform.py', 'constants.py', 'helpers.py', 'image_mobject.py', 'point_cloud_mobject.py', 'region.py', 'borsuk.py', 'complex_multiplication_article.py', 'chapter10.py', 'triples.py', 'wcat.py']"
f6340f42d7efe06c5436adfbca2723c1737b3022,Fixed bug associated with empty input strings,['c4b4acc69b6640acb36b8b4beaee04f3034670ed'],False,['tex_mobject.py']
da1751b7c5c41ed1dc7e1d868bb800ec20c5f6e9,Small fixes to Bayes videos,['2b0b16131f266e28392c2b95b4ea1b22f9e08454'],False,"['bayes.py', 'bayes_footnote.py']"
a954a0985756a8d1a6272033259cd0a94169cf6c,Fixes to ContinualAnimation,['af38dd10958f65deb7e0655a541d0625a3866971'],False,"['continual_animation.py', 'constants.py', 'scene.py', 'waves.py']"
f8a8d5115d2916ab233e5f1e03f54537748cd2ec,Fixed Line.put_start_and_end_on,['f1c0a341cc21eaac19b46f292ba754eaec5ecc54'],False,['geometry.py']
151914c1a2e445f697d8423c86f0fe7b4ef45884,Fixed some issues with how EM waves worked.  Quite possibly a few remain,['80c433820cae544fd55cf3161ffa7d091783e350'],False,"['bell.py', 'constants.py', 'geometry.py', 'number_line.py', 'waves.py']"
1c4da1c4e7e91698485cc40c2469c6d101f80fad,Arrow normal direction bug fix,['151914c1a2e445f697d8423c86f0fe7b4ef45884'],False,"['bell.py', 'geometry.py', 'waves.py']"
6539160789654a17ef21245d0fa2601cafd5f25f,Fixed constants,['1380d8670b7a87647e1a4f32d670c92d17f58108'],False,['constants.py']
4c1282af7baf74df4be11f3ecfc19bf63b607c68,Bug fix to MoreFiltersMoreLight,['231df4740fdb3e851de07d294533f90eea3255dd'],False,['bell.py']
9cd37d99fb0debbf4dec8f30d5dfd809207a3ad3,More bell fixes,['4c1282af7baf74df4be11f3ecfc19bf63b607c68'],False,"['bell.py', 'tex_mobject.py', 'waves.py']"
8b4d28f43347d1484303061a044c7cab8b98a220,Up to ForgetPreviousActions of Henry fixes,['9cd37d99fb0debbf4dec8f30d5dfd809207a3ad3'],False,"['bell.py', 'three_dimensions.py', 'waves.py']"
a5e965ba469d50d339d8ee12383c63dd6d57bb58,Small fixes to waves.py,['1966864d20ef14b26882c96a6dc4de7f9588299a'],False,['waves.py']
b88c6696276c8b30ed7aec26bcf98628268855e3,Further Bell fixes,['a5e965ba469d50d339d8ee12383c63dd6d57bb58'],False,"['transform.py', 'bell.py', 'camera.py', 'vectorized_mobject.py', 'geometry.py', 'waves.py']"
36cb325e424fb0b85c4104115e0988febc2aabfc,Small bugfix on text_template.tex,['389f8c9c01205707b5c193cb9483262f327d6414'],False,['text_template.tex']
6fac1a578c0ed596083ab8f65048b8b5fdf67e40,Fixed Mobject.copy to be more efficient and fault taulerent,['7f88a9dae1ebec2337d5134945295d58df4a2be6'],False,"['transform.py', 'mobject.py']"
cc1767718c9a1fa15d4001f35fe6e34d2e1218c6,NumberLine.apply_function bug fix,['dad04e89c91658d8c923701e570a7239e81df3ac'],False,['number_line.py']
9f3e23f991d329f9e20232e07dff9c85138f454a,Error message for finding image paths,['ff207a4688d172c93c24c56152b540b0a454dff6'],False,['helpers.py']
de0e156444f3a102801682ae2d13ed4a4f1d71a5,Slight alterations and bug fixes,['0ba007bf21867f2bfc63352470196de39f95da80'],False,['part1.py']
3d9d3be1425b98dd943bea8b49f5f6a4f8af21a3,A few scene bug fixes,['de0e156444f3a102801682ae2d13ed4a4f1d71a5'],False,['scene.py']
fae819695a80888b9c06b42ec3cae5b77155d6e3,There's some (as of yet unresolved) bug associated with fill colors when they become negative during an animation,['24d6c7bbef76131dc5cf5a85a6b1624447ccfcbc'],False,['camera.py']
589fd5e0281a09d4f13f2466d44990fd61b6c285,Small fix so curved arrows look better,['e5490913a8469739db7e6bfc7cb02f95ded32191'],False,['geometry.py']
76ea80230d6137e4fe0852eda0e83b5489c7af84,Arrow bug fix,['6625e4ee16784d199df2c42a6d89e060a7ccb18a'],False,['geometry.py']
07fc70ec8894cf7b80c56d1a42ac6fd9fcdbad0b,"Merge pull request #65 from frozar/constant_setup

[CONST] Fix directories creation","['01f85225d0111d2c0b976632c5f98d285b35c856', '7e1f8e4b47eee9fb8039884ac2b44f98b7781385']",True,[]
1b0819ce9775cc7ea1780bd687266ab6f62b71d8,Fixed ffmpeg writing issue,['2ee311870fc1220bd5161abe6882015cddce6129'],False,"['.gitignore', 'constants.py', 'playground.py', 'scene.py']"
3696ce748d55b2c5394aec2521f475c088787089,Fixed zoomed_scene bug,['d8c4021eec9fda8e4d500e4c77d8bf7851e14596'],False,['zoomed_scene.py']
56505522bd029882c6a46965daf74895431008cc,"Fixed Succession animation, while changing its syntax a bit",['48503fc5affa31446782dadf13684ad093382edd'],False,"['simple_animations.py', 'transform.py']"
a0fc3ce3241134e65e2adb56ecae4522edaa8f63,Bug fix on CycleAnimation,['62edfbb32fd6bb4fda978fd621a58c97a55ecdf3'],False,['continual_animation.py']
ae31ee55e74fd99834f208d8c554761c03de0de7,Bug fix to VMobject.fade,['c649a152d70bfa8f4eabadcc53706655d4d51b74'],False,['vectorized_mobject.py']
6de931968e292724c1907be3fa523d81c9326da0,Small bug fix,['f23fd5444da80408e4e22998ce3d5ccd610277c6'],False,['geometry.py']
0e961c85e017a85dc68e47c920273b9f8cdeb718,Bug fix to how Succession behave when Scene.play changes its runtime,['016e2c9adafba3b78b16adbd8d791bef4194dbaf'],False,['simple_animations.py']
5d9eb8d5a0b3ef62aaeb17a53d90d43f16f36c64,Fixed get_merged_array bug,['ec1afdbb835890ed909268ffa6417e948fb78069'],False,"['mobject.py', 'point_cloud_mobject.py']"
9f977fd23ebdeffae5b0278ab15e9d56bf220020,double drawing of elongated ticks fixed,['54e1584b3d67e6d397e2424ae528219c1950e797'],False,['number_line.py']
50a65817109bcf92fff8922fb432cec48429ec92,"Merge pull request #67 from 3b1b/number-line-tick-fix

double drawing of elongated ticks fixed","['54e1584b3d67e6d397e2424ae528219c1950e797', '9f977fd23ebdeffae5b0278ab15e9d56bf220020']",True,[]
f64c076e7ebe70d489e081db43dcd5c5d722a0cb,Changed how functions are applied to vectorized mobjects to handle smoothness issues more cleanly,['1b67abd8a95ab6f0374acc490f1dc8db049d9d15'],False,"['vectorized_mobject.py', 'geometry.py', 'number_line.py', 'objects.py']"
543d8cb92d42f560665f43423b850272c4e7c8ef,Fixed ChangingDecimal bug based on new scene+mobject structure,['024a9dd3d48659fe565709d35e8fa7fe7c8c47b7'],False,['numerals.py']
38a1c654fc9e814a45b7f1dcb0c5fd2a3ee21670,Slight bug fix for behavior when scene adds mobject followed by a group containing that mobject,['1332ec9ed1d59955c6b6e4b2fb4af77fcc7f8346'],False,['scene.py']
fe309ed343616f4d037900f12c2bff2c2720b55b,Fixed how NumberLine leftmost_tick is chosen,['5ac1b874943cc662074e9fc67dd21e7a3f20daa8'],False,['number_line.py']
00713b7971b5056b53fe9dc6b4d7857e527bcad3,Fixed bug associated with continual_animations being removed accidentally,['b41e1fc562ab82033cbe0dd1e48d7afdcf91f033'],False,['scene.py']
eb149bef2ea512d95770065cc7f1dc6f04d01674,Fixed the bug with negative 0 displaying,['0c30d31dfffff4f6e56c925d26fa120b6a323f32'],False,['numerals.py']
d74127bb7fb221f08788586514d2f7b71c118820,Bug fixes to implementation of Succession animations,['2d34b2e28be0cf16a39d66b6d0e5919506ab11cd'],False,"['simple_animations.py', 'helpers.py']"
4919dbf652f144cf7ff6599bf8ff30d452b6e716,Fixed ContinualUpdateFromFunc issue,['22d6d2dba588520704894d328e8e568a48461047'],False,['continual_animation.py']
123bae00a67575b01dafbc1ce6cf00c9d3e1cf04,Further fixes to Succession animations,['7bcde6713d48f4045c159125dfa1bef700f0c872'],False,"['simple_animations.py', 'helpers.py']"
6e293782ffbb79696facfdc40515fd21d961884c,Incremental progress on WindingNumber (equation solver 2d),['123bae00a67575b01dafbc1ce6cf00c9d3e1cf04'],False,['WindingNumber.py']
78b660bb923ca5c990b8c163e61f582e4372a5f4,Fixed bug with creating image directories,['a28d13fc3e5f2791601eb111ff15f2b26a828b88'],False,['scene.py']
e6df91d03e7ae8b714684f1e42c9720367b3ffa2,Small bug fix to foreground mobject behavior during an animation,['78b660bb923ca5c990b8c163e61f582e4372a5f4'],False,['scene.py']
fcd1e7d6a53d2bae495cfe1eaa11a2c099ed53a5,A few small fixes to new about_point behavior,['48dad34f957abce4cefec06052fefe5325e39ac2'],False,['mobject.py']
1ffbc77eda0c9d62de5b4196a499f6d42ed03620,Bug fix to ApplyMethod treatment of method kwargs,['7c9f5ca71155d2cc6f88c3bdef844f71005ff11d'],False,"['transform.py', 'mobject.py', 'scene.py']"
5f3c7749528aed8b637906188c2e9cc0724d8b8f,Fixed bug with how Brace gets created,['925e10396840ad968b8dda4a743c9001f575b0b3'],False,['tex_mobject.py']
4acc4c2382708f7b1e34d9a6355a1d9960c1f78f,Typo fix,['9916e072aad78ff8fd5349e377eca73429d6f5f0'],False,['README.md']
c7b140a24d756b675feee0e7e0a66f2d440c8c67,Added error message to indicate people should change MEDIA_DIR,['dc271530d684c41ce70825b651e2948316af17e0'],False,['constants.py']
22c11286b76ebcc44012f87ff0821c8579a53760,"Merge pull request #83 from Solara570/tex-mobject-fixes

A few improvements on TexMobject","['578099811547ea67fe0234005031c5caf7b268c4', 'ad7a2171cd6a54df1a9febb5c17d212deeb9a4a9']",True,[]
963956cca71e66127488e9edff222566eaa69093,resolved merge conflicts (#85),['2cbf016dff8192d35c8ef93afd73bbf97f27a236'],False,['numerals.py']
eabe989eda7d42b6b3ee92ca686a6b196ad48167,Resolved a few merge conflicts,['f6c9c6eec6ff11fb1d17cb510b27843c16690e7e'],False,"['scene.py', 'geometry.py']"
738d6974b7a0e1283ce5762cf62c3a6e7ac466d2,Resolved conflicts in,"['a4a146a54eecd57b33feb4a4c86e930ef73cc28c', 'b9a292fbfc0dd9347a6ec87ad02638196fdf4cc5']",True,[]
3c86caa48830119983ec49e31c861c88a2ccc443,Fixed bug with MappingCamera set to allow_object_intrusion,['730c94461f7393c93b4505753e11a56995bbbd4f'],False,['camera.py']
932d056ff71c3c0505a6088fc0a7023780c7ac31,"Merge pull request #90 from 3b1b/mapping-camera-fix

Fixed bug with MappingCamera set to allow_object_intrusion","['730c94461f7393c93b4505753e11a56995bbbd4f', '3c86caa48830119983ec49e31c861c88a2ccc443']",True,[]
3e34c29509e804e029e9b215a1eb947a5e164035,Bug fix to PiCreatureScene handling bubbles,['0fa5727d587c64398917ac12c8e223f2b50781d0'],False,['characters.py']
5718db026e2cdc23ada625bd0fc436c334d93ac0,bugfix: svg handling,['aa73cd65b1f7ed95a68e81f1476934d4b073bcdc'],False,['svg_mobject.py']
b7091273392ce4975a8b8533a5d424d4319115a1,"Bugfix: VMobject.pointwise_become_partial did not worked properly when 0<a, b<1 and
they are on the same curve.",['8cf2214d15d6cf7dd37c5f80ccbeebe10b7e8e67'],False,['vectorized_mobject.py']
a9c1498affddf9beba9b347d5fd1b1b73c3bba9f,Resolve undefined names,['994749ceadf9f87f2ebe40bbb795fbb2b696f377'],False,"['network.py', 'number_line_scene.py']"
28ba8fea9ce9c16e199ed7738441307d741739b2,Fixed alignment of Decimal unit,['994749ceadf9f87f2ebe40bbb795fbb2b696f377'],False,['numerals.py']
d52776a0a7ed352f39102945027876e3732d7b1e,Fixed numerals merge issue,"['ad2b1c393384cd39501a733b9763209a236d7a73', '82c14ee6a7a25953c1ac5e82d4e32af0ad72e29d']",True,[]
55a723a2848c8ea666f3bb40b4482ae77bf2e6a8,"Fixed bugs in Succession and AnimationGroup, and also created purely virtual Container class from which both Scene and MObject derive (conceptually unifying their remove/add methods)",['ad14222d1cd94c82ed83cdf3dd782109fd543831'],False,"['simple_animations.py', 'mobject.py', 'scene.py']"
24328374daa9c061c2874c149f800a8462f44ca2,"Merge pull request #98 from cclauss/resolve-undefined-names

Resolve undefined names in Python 2 and 3","['ea56569b24d4c2857457a423357f9791b089bea6', 'a9c1498affddf9beba9b347d5fd1b1b73c3bba9f']",True,[]
10e76fd7d8e3def3cc594d1a300b1479d4b1b11d,"Merge pull request #94 from mirefek/master

Several simple bugfixes and features","['24328374daa9c061c2874c149f800a8462f44ca2', 'bc23fbc3426a536aebb4a412ad6994cf89daf958']",True,[]
7ad6ccaa49bbd5cbfcc9892609fca5a2aba6708a,Bug fixes to 3d display,['10e76fd7d8e3def3cc594d1a300b1479d4b1b11d'],False,['three_dimensions.py']
c28b81a2307c032dd94f892cc86722766b355d8a,Fixed bug in set_background_by_color_function,['634b28c485c4408b4c48e3dd92bf5756985fad58'],False,['camera.py']
c5a93b4c86b5cae25ace670412ebe3035f5913e1,[3D CAMERA] BUGFIX: take into account the camera distance in get_view_transformation_matrix().,['717b3f9b80f261736c1784c33f232e7b024610bf'],False,['three_dimensions.py']
d9e329e9dd07dbb6187dddf5a316f0debb144d71,"Merge pull request #106 from frozar/3D_zoom

[3D CAMERA] BUGFIX: Zoom","['717b3f9b80f261736c1784c33f232e7b024610bf', 'c5a93b4c86b5cae25ace670412ebe3035f5913e1']",True,[]
c9e0d8b8392eaf2d7845160e761093fa10c16839,Bug fixes on set_background_from_func (now computes screen dimensions correctly),['5c0e71a728052828a62edc53f0bd5b3bd06002f8'],False,['camera.py']
6829ff115240c9eb80c39360424b4cd5c74eb187,"Merge pull request #108 from 3b1b/WindingNumber

Z buffer sorting added to camera, set_background_by_func fixed, other small fixes","['19278fe613d6b35e62f6300422ff794a769c1424', 'b1a62a156c4e17df98181fa2f6a06f838ae390b7']",True,[]
ceccddd262aeaced56140295095f1119299dfbe6,fixed copying problem in animation,['6a0b0c874288c5b45ea522e2701195142134ef24'],False,['scene.py']
ad5ffc5fdcfce9dbed916a539225ab41abcc19d3,"debugged existing scenes, working on BackToEulerSum",['fa481a1cb870a92d6c77f531feb278f08805dea9'],False,"['basel.py', 'light.py']"
87b7635988715ac52057b0d2d949e4786156eee1,bug fix session with Grant,['ad5ffc5fdcfce9dbed916a539225ab41abcc19d3'],False,"['basel.py', 'mobject.py', 'light.py']"
1e88bf3946bfca6db7df4bfcbcba3ecbd257410d,"Merge branch 'master' into lighthouse2

# Conflicts:
#	topics/light.py -> resolved","['87b7635988715ac52057b0d2d949e4786156eee1', '341fad5e94efdb0f4b3b720b8798717d9a19ed99']",True,[]
2c4fa36073f1e9da1223046cd24fc788d2652b12,bug fixes in light. Finally working again!,['8e0c84946f78ec9053a72ea37a4dd0d9119bc9cd'],False,['light.py']
968b0dd811b79879b172b2fbf06a8a7a93a248ee,fixed spacing issue in BackToEulerSumScene,['082d67ec84d8bf9e5479d35ee4c68fa11368a507'],False,"['.gitignore', 'basel.py']"
29962068dbb36a081398593d936e4500ce1d76f8,Bug fix to Line.insert_n_anchor_points,['dca03648ad0a1d580e066244e74ac7bb2055857c'],False,['geometry.py']
7871e557d2d5802806c72ab9b395e197e64ede8f,bug fixes,['4a11d8f42df09ac2860fce90aa2d50aa5fc2b103'],False,['light.py']
87811976d4d9d27fa0d446eb5d40e4893fc5be25,"Merge branch 'master' into lighthouse2

# Conflicts:
#	.gitignore -> resolved","['7871e557d2d5802806c72ab9b395e197e64ede8f', 'ff32a7c6a4113a0bd1bd15a98f2e9b4a5f1de902']",True,[]
e1a5667ec07a33ffe9802bbda3d7d591b4801087,fixed issue with finding the angles of left-oriented spotlights,['5b395853b719f7a0c8373e5c7ff237c32aea7a20'],False,['light.py']
cf9156a3cc5c824b1c58a877a07bc24598422ba9,Fixed shadow issue,['512caa90c6c32449f8fd4ce8d77de4791affdff9'],False,['light.py']
e07fecc2f94569aa878e871cd098a4eaec807fc8,ThreeDMobject color fix,['e78cb80701693cad48994147f1dc51f6de204ad8'],False,['three_dimensions.py']
e98252dfa6588fc75d835907c91bf8e0f5ae4eea,"Merge pull request #120 from mirefek/master

yet another simple fixes / improvements","['3f6f23cae4e65c1cdd2e9b2d7685872a24fd60df', '6b39ba0502786d63d13671325a78351f89dfd3be']",True,[]
4c6af541c13a13550987f26145a97ee92fbb922d,"Switched WindingNumber to use np.linspace; also, fixed missing colon in extract_scene.py",['5c0bbbc4be4faa1269ef52541f32b7780843d676'],False,"['WindingNumber.py', 'extract_scene.py']"
13a45224a0a5b4e99cd4951c48064f8ad67ed113,"Fixed display of vmobjects with a background color array, and sped up overlay_rgba by a bit",['d5aeeb0e8c1d3a2b67ba73002b4a7b9b34464862'],False,['camera.py']
b4b47c8439e7a9c2935f37f93fe88536f2e47467,Fixed Succession bug which had resulted in incompletely drawn subanimations,['b06e8818f4116a42c9059c9af719a192fce10b15'],False,['simple_animations.py']
95357f90a11880bc3863dc3633b11589cc4056d8,Fixed how continual animations are handeled when skip_animations is set,['e632be304d07e1ca5fa69363c7fefb3131c37b1a'],False,['scene.py']
fe1c3ca0f9cc6d372d12e9daaf511a2b3a65cd99,3D anims of LightSource fixed (everything faces the camera again),['2d93c45624080b24a9b08d84359a400b1fcc01c6'],False,['light.py']
4982a44fb6e1dbd24a7afd6336dd43e13fa3b794,Fixed bug where nested AnimationGroups did not propagate configs correctly,['d509335210a0a228fe9c0072bab515d84ac0848c'],False,['simple_animations.py']
c2b9417c6a84a699e10150967751a334c7b95ca0,Fixed division by zero bug in alpha compositing,['652dab7f232eacc8040471ac4118ffd53f562e99'],False,"['camera.py', 'helpers.py']"
5e64508c40f0361059e682ef62f072aa93676ec2,"Merge pull request #133 from 3b1b/WindingNumber

Fixed division by zero bug in alpha compositing","['652dab7f232eacc8040471ac4118ffd53f562e99', 'c2b9417c6a84a699e10150967751a334c7b95ca0']",True,[]
3bdeeafe2dc2ab22d07e970d56b7c783af15ffd0,"resolved conflict

# Conflicts:
#	topics/light.py","['59deed97aa5bc69dd0107a059f7a962bf44ff589', '79a51cc7953e181648f3574a9641d6e3ad30f0a4']",True,[]
f76a34c273e94193893c1dfc68cd47f25dd65d19,Fixed deepcopy segfault issue with Camera,['d3a39f2e65ba1a448846776f26926f4de06de708'],False,['camera.py']
6ff937e89385e7f84d78861efcf3be6d666c7fcd,"Fixed one-off error for number of frames rendered during an animation, and made it so that a final frame is always rendered after the construct method is called",['47d1f8d4464a2862c74eab4d3e579c15f6bd19e8'],False,['scene.py']
1d09e5e9607cff6527a262beb599bcfbe6f85259,Fixed bits of funny behavior with skip_animations,['6ff937e89385e7f84d78861efcf3be6d666c7fcd'],False,['scene.py']
9927f226453161431a8309cd53f5d33382208ab2,"Fixed small bug in Arc, where end and start were swapped in adding tips",['f7f359ffafd9e5cfcaa790892fec6597e88317b2'],False,['geometry.py']
c329fa5914bcc3246a7669bec7b4103e4bbde73d,Fixes small run_time and added some warnings to Succession,['1c095a7f07dd5ca02d1e7aaa34ea384a01a071d6'],False,['simple_animations.py']
4c1934fe4fd26700b2a729ea411169d771c6fdd0,Fixed typo,['f93679fa47253074396605068969d5e2b389e0e0'],False,['camera.py']
1b9cde00d95d1c75d65e831160f7e5fff9a01fca,"Minor fix to camera.py, making SplitScreenCameras work again after some change to background handling made them crash",['2966c1c31e503fa131a9427f785094ee32effd6a'],False,['camera.py']
